variant,precision,recall,f1
baseline,0.7543859649122807,0.6323529411764706,0.688
class_weight_balanced,0.75,0.7058823529411765,0.7272727272727273
SMOTE_training_only,0.746031746031746,0.6911764705882353,0.7175572519083969
